46,42
45,44
46,43
45,43
47,44
46,43
45,44
45,44
46,43
44,45
44,42
44,44
47,43
46,42
46,42
45,42
46,42
45,45
45,44
44,42
46,41
44,44
44,43
46,42
45,43
46,43
44,44
43,45
46,43
44,45
45,41
46,43
46,43
44,45
45,45
44,45
44,45
45,43
43,43
45,45
43,45
44,44
44,45
42,47
42,45
42,44
43,45
42,46
42,45
44,45
42,45
42,46
45,44
40,46
43,44
42,46
42,45
44,45
43,45
44,48
42,45
42,46
42,45
42,45
42,47
43,45
44,45
43,44
40,47
44,44
43,46
43,44
44,45
43,46
41,46
42,46
41,46
42,47
42,46
42,45
43,47
43,45
41,47
42,47
42,48
